DATAFLOW;AREA_REF;Time_period;"""INDICADOR""";OBS_VALUE;FREQ;UNIT_OF_MEASURE;FUENTE;OBS_STATUS;DECIMALS
CL01:DF_TRLMULT(1.0);_T;2017-M11;TRL;38.35246756;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M12;TRL;37.27284325;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M01;TRL;36.78428766;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M02;TRL;36.47421039;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M03;TRL;36.22875948;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M04;TRL;35.7444361;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M05;TRL;35.45573812;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M06;TRL;35.36092517;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M07;TRL;35.26015834;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M08;TRL;35.52464236;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M09;TRL;35.17295522;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M10;TRL;35.72811949;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M11;TRL;36.46378554;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M12;TRL;36.81455998;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M01;TRL;36.41023608;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M02;TRL;36.12945794;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M03;TRL;35.29828497;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M04;TRL;34.65247234;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M05;TRL;34.26317996;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M06;TRL;34.04389437;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M07;TRL;34.18749751;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M08;TRL;34.12015488;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M09;TRL;33.53070412;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M10;TRL;33.69886769;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M11;TRL;34.03330025;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M12;TRL;34.27531697;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M01;TRL;33.99397161;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M02;TRL;33.325357;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M03;TRL;32.5211523;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M04;TRL;30.68704527;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M05;TRL;29.42384925;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M06;TRL;29.31791083;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M07;TRL;28.78601516;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M08;TRL;28.53890907;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M09;TRL;28.52008896;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M10;TRL;29.23791434;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M11;TRL;30.41679634;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M12;TRL;30.95033737;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M01;TRL;30.83499501;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M02;TRL;30.61355694;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M03;TRL;30.67377559;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M04;TRL;30.1889396;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M05;TRL;30.28843696;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M06;TRL;30.58325996;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M07;TRL;31.50270037;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M08;TRL;32.76827979;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M09;TRL;33.41463883;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M10;TRL;34.02205159;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M11;TRL;34.89686037;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M12;TRL;35.48714083;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M01;TRL;35.62339962;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M02;TRL;35.30805016;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M03;TRL;35.31675664;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M04;TRL;35.1173807;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M05;TRL;35.33518847;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M06;TRL;35.35555124;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M11;TSL;32.43814999;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M12;TSL;33.08438485;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M01;TSL;33.31140222;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M02;TSL;33.20589441;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M03;TSL;33.25242916;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M04;TSL;33.30661145;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M05;TSL;33.45934057;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M06;TSL;33.45189654;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M07;TSL;33.2021423;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M08;TSL;33.88827178;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M09;TSL;33.75358082;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M10;TSL;34.04940954;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M11;TSL;34.90589841;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M12;TSL;35.33925738;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M01;TSL;34.78950535;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M02;TSL;34.65457234;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M03;TSL;34.01432131;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M04;TSL;33.24321328;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M05;TSL;32.85151102;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M06;TSL;32.72566278;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M07;TSL;32.72161097;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M08;TSL;32.81427871;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M09;TSL;32.29875719;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M10;TSL;32.79517725;M;Tasa;RRAA Suseso;;1
