"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"IX","Índice","2016-M01","2016 Enero",98.45,,
"IX","Índice","2016-M02","2016 Febrero",97.65,,
"IX","Índice","2016-M03","2016 Marzo",99.46,,
"IX","Índice","2016-M04","2016 Abril",99.4,,
"IX","Índice","2016-M05","2016 Mayo",99.18,,
"IX","Índice","2016-M06","2016 Junio",99.18,,
"IX","Índice","2016-M07","2016 Julio",99.83,,
"IX","Índice","2016-M08","2016 Agosto",100.08,,
"IX","Índice","2016-M09","2016 Septiembre",101.24,,
"IX","Índice","2016-M10","2016 Octubre",100.93,,
"IX","Índice","2016-M11","2016 Noviembre",101.29,,
"IX","Índice","2016-M12","2016 Diciembre",103.31,,
"IX","Índice","2017-M01","2017 Enero",103.61,,
"IX","Índice","2017-M02","2017 Febrero",102.97,,
"IX","Índice","2017-M03","2017 Marzo",103.97,,
"IX","Índice","2017-M04","2017 Abril",104.69,,
"IX","Índice","2017-M05","2017 Mayo",104.46,,
"IX","Índice","2017-M06","2017 Junio",104.96,,
"IX","Índice","2017-M07","2017 Julio",106.07,,
"IX","Índice","2017-M08","2017 Agosto",106.69,,
"IX","Índice","2017-M09","2017 Septiembre",107.09,,
"IX","Índice","2017-M10","2017 Octubre",107.14,,
"IX","Índice","2017-M11","2017 Noviembre",107.85,,
"IX","Índice","2017-M12","2017 Diciembre",109.1,,
"IX","Índice","2018-M01","2018 Enero",109.03,,
"IX","Índice","2018-M02","2018 Febrero",108.49,,
"IX","Índice","2018-M03","2018 Marzo",109.48,,
"IX","Índice","2018-M04","2018 Abril",109.85,,
"IX","Índice","2018-M05","2018 Mayo",109.96,,
"IX","Índice","2018-M06","2018 Junio",110.03,,
"IX","Índice","2018-M07","2018 Julio",110.6,,
"IX","Índice","2018-M08","2018 Agosto",110.63,,
"IX","Índice","2018-M09","2018 Septiembre",111.7,,
"IX","Índice","2018-M10","2018 Octubre",111.66,,
"IX","Índice","2018-M11","2018 Noviembre",112.22,,
"IX","Índice","2018-M12","2018 Diciembre",113.3,,
"IX","Índice","2019-M01","2019 Enero",113.54,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M01","2017 Enero",5.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M02","2017 Febrero",5.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M03","2017 Marzo",4.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M04","2017 Abril",5.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M05","2017 Mayo",5.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M06","2017 Junio",5.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M07","2017 Julio",6.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M08","2017 Agosto",6.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M09","2017 Septiembre",5.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M10","2017 Octubre",6.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M11","2017 Noviembre",6.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M12","2017 Diciembre",5.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M01","2018 Enero",5.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M02","2018 Febrero",5.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M03","2018 Marzo",5.3,,
