DATAFLOW,AREA_REF,FREQ,INDICADOR,ECO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,UNIDAD,MULT
CL01:DF_IR_RAMA(1.0),_T,M,IR,B,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,C,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,D,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,E,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,F,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,G,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,H,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,I,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,J,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,K,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,L,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,M,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,N,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,O,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,P,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,Q,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,R,2016-M01,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,B,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,C,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,D,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,E,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,F,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,G,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,H,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,I,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,J,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,K,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,L,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,M,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,N,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,O,2016-M02,1.1,,1,RT,0
CL01:DF_IR_RAMA(1.0),_T,M,IR,P,2016-M02,1.1,,1,RT,0
