DATAFLOW,FREQ,INDICADOR,AREA_REF,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,UNIDAD,MULT
CL01:DF_TEL(1.0),M,TEL,_T,2017-M11,44.26678514,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2017-M12,41.46130165,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M01,40.2571731,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M02,39.74252637,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M03,39.2050898,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M04,38.18226074,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M05,37.45213568,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M06,37.2699538,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M07,37.31817438,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M08,37.16101294,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M09,36.59232961,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M10,37.40682944,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M11,38.02167267,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2018-M12,38.28986258,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M01,38.03096681,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M02,37.60434355,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M03,36.58224863,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M04,36.06173141,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M05,35.6748489,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M06,35.36212597,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M07,35.65338405,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M08,35.42603104,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M09,34.76265105,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M10,34.60255812,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M11,34.71632528,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2019-M12,34.68359162,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M01,34.25172388,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M02,32.97664749,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M03,32.07326288,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M04,28.5232462,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M05,26.34216278,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M06,26.46698623,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M07,25.81416303,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M08,25.50031042,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M09,25.96571504,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M10,27.06725939,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M11,28.93907995,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2020-M12,29.6645811,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M01,29.68010891,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M02,30.12960996,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M03,30.51099908,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M04,31.88264264,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M05,33.17241846,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M06,33.4299092,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M07,34.71346527,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M08,36.65292,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M09,37.45055059,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M10,37.58934083,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M11,37.89284541,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2021-M12,38.46853407,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M01,38.41948336,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M02,37.53135735,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M03,37.1178925,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M04,36.24441099,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M05,36.00904797,,1,RT,0
CL01:DF_TEL(1.0),M,TEL,_T,2022-M06,34.63958486,,1,RT,0
