DATAFLOW,FREQ,INDICADOR,AREA_REF,ECO,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,UNIDAD,MULT
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2017-M11,38.35246756,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2017-M12,37.27284325,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M01,36.78428766,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M02,36.47421039,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M03,36.22875948,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M04,35.7444361,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M05,35.45573812,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M06,35.36092517,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M07,35.26015834,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M08,35.52464236,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M09,35.17295522,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M10,35.72811949,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M11,36.46378554,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2018-M12,36.81455998,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M01,36.41023608,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M02,36.12945794,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M03,35.29828497,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M04,34.65247234,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M05,34.26317996,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M06,34.04389437,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M07,34.18749751,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M08,34.12015488,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M09,33.53070412,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M10,33.69886769,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M11,34.03330025,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2019-M12,34.27531697,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M01,33.99397161,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M02,33.325357,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M03,32.5211523,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M04,30.68704527,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M05,29.42384925,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M06,29.31791083,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M07,28.78601516,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M08,28.53890907,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M09,28.52008896,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M10,29.23791434,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M11,30.41679634,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2020-M12,30.95033737,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M01,30.83499501,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M02,30.61355694,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M03,30.67377559,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M04,30.1889396,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M05,30.28843696,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M06,30.58325996,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M07,31.50270037,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M08,32.76827979,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M09,33.41463883,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M10,34.02205159,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M11,34.89686037,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2021-M12,35.48714083,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M01,35.62339962,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M02,35.30805016,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M03,35.31675664,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M04,35.1173807,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M05,35.33518847,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TRL,_T,,,2022-M06,35.35555124,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2017-M11,32.43814999,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2017-M12,33.08438485,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M01,33.31140222,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M02,33.20589441,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M03,33.25242916,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M04,33.30661145,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M05,33.45934057,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M06,33.45189654,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M07,33.2021423,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M08,33.88827178,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M09,33.75358082,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M10,34.04940954,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M11,34.90589841,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2018-M12,35.33925738,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M01,34.78950535,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M02,34.65457234,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M03,34.01432131,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M04,33.24321328,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M05,32.85151102,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M06,32.72566278,,1,RT,0
CL01:DF_TRLMULT(1.0),M,TSL,_T,,,2019-M07,32.72161097,,1,RT,0
