DATAFLOW,TIME_PERIOD,OBS_STATUS,OBS_VALUE,UNIDAD,AREA_REF,FREQ,INDICADOR,DECIMALS,MULT
CL01:DF_ICMO(1.0),2016-M01,,98.45,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M02,,97.65,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M03,,99.46,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M04,,99.4,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M05,,99.18,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M06,,99.18,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M07,,99.83,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M08,,100.08,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M09,,101.24,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M10,,100.93,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M11,,101.29,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2016-M12,,103.31,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M01,,103.61,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M02,,102.97,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M03,,103.97,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M04,,104.69,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M05,,104.46,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M06,,104.96,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M07,,106.07,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M08,,106.69,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M09,,107.09,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M10,,107.14,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M11,,107.85,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M12,,109.1,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M01,,109.03,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M02,,108.49,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M03,,109.48,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M04,,109.85,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M05,,109.96,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M06,,110.03,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M07,,110.6,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M08,,110.63,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M09,,111.7,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M10,,111.66,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M11,,112.22,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2018-M12,,113.3,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M01,,113.54,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2017-M01,,5.2,VAR12,_T,M,ICMO,2,0
