DATAFLOW,AREA_REF,FREQ,INDICADOR,NTRAB,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M01,97.2,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M01,99.66,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M01,98.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M02,97.87,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M02,98.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M02,98.06,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M03,99.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M03,99.55,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M03,99.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M04,99.41,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M04,99.38,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M04,99.58,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M05,100.26,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M05,98.64,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M05,99.19,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M06,99.7,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M06,99.4,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M06,99.26,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M07,100.58,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M07,99.31,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M07,99.88,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M08,100.08,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M08,99.43,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M08,100.05,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M09,100.62,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M09,101.51,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M09,100.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M10,100.9,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M10,100.75,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M10,100.98,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M11,101.43,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M11,101.37,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M11,101.16,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2016-M12,102.62,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2016-M12,102.43,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2016-M12,102.64,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M01,103.7,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M01,103.77,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M01,103.74,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M02,104.94,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M02,104.16,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M02,102.92,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M03,105.73,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M03,104.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M03,103.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M04,105.94,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M04,105.85,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M04,104.38,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M05,105.89,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M05,106.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M05,103.65,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M06,107.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M06,106.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M06,104.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M07,109.34,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M07,107.5,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M07,104.92,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M08,112,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M08,107.02,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M08,105.2,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M09,110.66,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M09,107.1,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M09,105.75,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M10,111.5,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M10,108.27,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M10,105.67,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M11,112.6,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M11,108.96,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M11,106.16,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2017-M12,112.46,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2017-M12,109.23,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2017-M12,107.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M01,113.52,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M01,110.8,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M01,107.92,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M02,112.63,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M02,111.56,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M02,107.29,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M03,113.26,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M03,110.38,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M03,108.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M04,113.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M04,111.61,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M04,108.44,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M05,113.29,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M05,111.84,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M05,108.16,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M06,113.59,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M06,111.94,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M06,108.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M07,114.59,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M07,112.89,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M07,108.66,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M08,114.95,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M08,112.77,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M08,108.69,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M09,115.63,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M09,114.35,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M09,109.71,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M10,115.03,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M10,114.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M10,109.71,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M11,116.22,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M11,115.01,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M11,110.21,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2018-M12,116.58,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2018-M12,115.45,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2018-M12,110.83,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M01,116.96,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M01,117.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M01,111.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M02,116.88,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M02,117.52,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M02,111.79,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M03,119.44,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M03,118.14,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M03,112.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M04,119.66,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M04,118.72,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M04,113.41,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M05,120.22,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M05,118.54,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M05,113.18,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M06,120.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M06,117.98,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M06,113.17,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M07,121.33,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M07,119.12,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M07,113.73,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M08,122.5,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M08,118.57,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE3,2019-M08,113.97,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE1,2019-M09,121.07,1,IX,0
CL01:DF_IR_NTRAB(1.0),_T,M,IR,ENTSIZE2,2019-M09,118.42,1,IX,0
