DATAFLOW,TIME_PERIOD,desagregaciones,OBS_VALUE,TDCON,SEXO,AREA_REF,FREQ,INDICADOR,DECIMALS,UNIDAD,MULT
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_indefinido_hombres,0,TDC_7,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_indefinido_mujeres,0,TDC_7,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_indefinido_sin_informacion,0,TDC_7,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_indefinido_sexototal,0,TDC_7,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_plazo_fijo_hombres,0,TDC_8,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_plazo_fijo_mujeres,0,TDC_8,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_plazo_fijo_sin_informacion,0,TDC_8,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contrato_plazo_fijo_sexototal,0,TDC_8,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contratototal_hombres,0,_T,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contratototal_mujeres,0,_T,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contratototal_sin_informacion,0,_T,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,contratototal_sexototal,0,_T,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,casa_particular_hombres,,TDC_9,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,casa_particular_mujeres,,TDC_9,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,casa_particular_sin_informacion,,TDC_9,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M10,casa_particular_sexototal,,TDC_9,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_indefinido_hombres,5778,TDC_7,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_indefinido_mujeres,755,TDC_7,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_indefinido_sin_informacion,0,TDC_7,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_indefinido_sexototal,6533,TDC_7,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_plazo_fijo_hombres,22900,TDC_8,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_plazo_fijo_mujeres,10167,TDC_8,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_plazo_fijo_sin_informacion,0,TDC_8,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contrato_plazo_fijo_sexototal,33067,TDC_8,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contratototal_hombres,28678,_T,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contratototal_mujeres,10922,_T,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contratototal_sin_informacion,0,_T,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,contratototal_sexototal,39600,_T,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,casa_particular_hombres,,TDC_9,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,casa_particular_mujeres,,TDC_9,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,casa_particular_sin_informacion,,TDC_9,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M11,casa_particular_sexototal,,TDC_9,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_indefinido_hombres,8611,TDC_7,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_indefinido_mujeres,1394,TDC_7,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_indefinido_sin_informacion,0,TDC_7,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_indefinido_sexototal,10005,TDC_7,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_plazo_fijo_hombres,35917,TDC_8,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_plazo_fijo_mujeres,12899,TDC_8,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_plazo_fijo_sin_informacion,0,TDC_8,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contrato_plazo_fijo_sexototal,48816,TDC_8,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contratototal_hombres,44528,_T,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contratototal_mujeres,14293,_T,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contratototal_sin_informacion,0,_T,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,contratototal_sexototal,58821,_T,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,casa_particular_hombres,,TDC_9,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,casa_particular_mujeres,,TDC_9,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,casa_particular_sin_informacion,,TDC_9,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2002-M12,casa_particular_sexototal,,TDC_9,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_indefinido_hombres,49271,TDC_7,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_indefinido_mujeres,8561,TDC_7,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_indefinido_sin_informacion,0,TDC_7,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_indefinido_sexototal,57832,TDC_7,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_plazo_fijo_hombres,152856,TDC_8,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_plazo_fijo_mujeres,25650,TDC_8,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_plazo_fijo_sin_informacion,0,TDC_8,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contrato_plazo_fijo_sexototal,178506,TDC_8,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contratototal_hombres,202127,_T,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contratototal_mujeres,34211,_T,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contratototal_sin_informacion,0,_T,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,contratototal_sexototal,236338,_T,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,casa_particular_hombres,,TDC_9,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,casa_particular_mujeres,,TDC_9,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,casa_particular_sin_informacion,,TDC_9,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M01,casa_particular_sexototal,,TDC_9,_T,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M02,contrato_indefinido_hombres,89312,TDC_7,M,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M02,contrato_indefinido_mujeres,14357,TDC_7,F,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M02,contrato_indefinido_sin_informacion,0,TDC_7,_X,_T,M,NCOTSC,0,PS,0
SIMEL_CL:DF_NCOTSC_SEXO_TDCON(1.0),2003-M02,contrato_indefinido_sexototal,103669,TDC_7,_T,_T,M,NCOTSC,0,PS,0
