DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,CISE,UNIDAD,MULT
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,2038.248046875,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,2995.05297851562,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,2183.35131835938,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,2115.45434570312,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,3433.45581054688,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,2256.24829101562,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2010,1877.30505371094,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2010,2633.24584960938,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2010,2052.68920898438,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2011,2195.3349609375,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2011,3259.79663085938,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2011,2364.42163085938,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2011,2279.48388671875,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2011,3855.4501953125,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2011,2463.39794921875,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2011,2024.24926757812,,0,CISE_1A,CLPHR,0
